	target	target_accession	query	query_accesion	full_evalue	full_score	full_bias	best_evalue	best_score	best_bias	exp	reg	clu	ov	env	dom	rep	inc	description	taxid	organism	id	gi	db	status	length	tax_id	superkingdom	phylum	class	order	family	genus	species	cohort	forma	infraclass	infraorder	kingdom	no rank	no rank1	no rank10	no rank11	no rank12	no rank13	no rank14	no rank15	no rank16	no rank17	no rank18	no rank19	no rank2	no rank20	no rank21	no rank22	no rank3	no rank4	no rank5	no rank6	no rank7	no rank8	no rank9	parvorder	species group	species subgroup	subclass	subfamily	subgenus	subkingdom	suborder	subphylum	subspecies	subtribe	superclass	superfamily	superorder	superphylum	tribe	varietas
23889	APH3''	RF0172	NP_044301.1	-	3.899999999999998e-164	537.4	0.1	4.299999999999998e-164	537.2	0.1	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	562	Escherichia coli	NP_044301.1	9507399	bacteria|complete|plasmid	PROVISIONAL	267	562.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli						cellular organisms																																							
26972	APH6	RF0034	NP_044302.1	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	562	Escherichia coli	NP_044302.1	9507400	bacteria|complete|plasmid	PROVISIONAL	278	562.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli						cellular organisms																																							
35038	APH3	RF0033	NP_052154.1	-	1.4999999999999995e-143	469.8	0.0	1.6999999999999995e-143	469.6	0.0	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000126]	90371	Salmonella enterica subsp. enterica serovar Typhimurium	NP_052154.1	9507434	bacteria|complete|plasmid	PROVISIONAL	271																																																					
39679	TEM	RF0126	NP_052173.1	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	485	Neisseria gonorrhoeae	NP_052173.1	10955180	bacteria|complete|plasmid	PROVISIONAL	286	485.0	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae						cellular organisms																																							
39766	TetA	RF0127	NP_052244.1	-	2.1999999999999998e-187	615.6	30.8	2.4999999999999993e-187	615.4	30.8	1.0	1.0	0	0	1	1	1	1	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	263	Francisella tularensis	NP_052244.1	10954621	bacteria|complete|plasmid	PROVISIONAL	396	263.0	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis						cellular organisms																																							
39860	ABC_efflux	RF0007	NP_052625.1	-	2.2e-83	273.5	0.8	3.5999999999999994e-83	272.8	0.8	1.3	1.0	0	0	1	1	1	1	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	386585	Escherichia coli O157:H7 str. Sakai	NP_052625.1	10955284	bacteria|complete|plasmid	REVIEWED	706																																																					
44501	ANT3	RF0027	NP_052897.3	-	9.999999999999997e-169	552.2	1.1	1.1999999999999997e-168	551.9	1.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	1288825	Shigella flexneri 2b	NP_052897.3	452909618	bacteria|complete|plasmid	PROVISIONAL	336																																																					
44502	Chlor_Acetyltrans_CAT	RF0050	NP_052903.1	-	2.1999999999999997e-85	278.6	5.8	2.6999999999999996e-85	278.4	5.8	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	1288825	Shigella flexneri 2b	NP_052903.1	9507572	bacteria|complete|plasmid	PROVISIONAL	219																																																					
44503	TetA-B	RF0128	NP_052931.1	-	4.1999999999999984e-278	914.5	30.6	4.699999999999998e-278	914.4	30.6	1.0	1.0	0	0	1	1	1	1	tetA(B): tetracycline resistance MFS efflux pump [ARO:3000165]	1288825	Shigella flexneri 2b	NP_052931.1	9507600	bacteria|complete|plasmid	PROVISIONAL	401																																																					
49474	APH3''	RF0172	NP_054472.1	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	747	Pasteurella multocida	NP_054472.1	10955977	bacteria|complete|plasmid	PROVISIONAL	267	747.0	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida						cellular organisms																																							
