	target	target_accession	query	query_accesion	full_evalue	full_score	full_bias	best_evalue	best_score	best_bias	exp	reg	clu	ov	env	dom	rep	inc	description	taxid	organism	id	gi	db	status	length
0	ErmC	RF0071	NP_040407.1	-	1.1999999999999995e-171	561.4	23.2	1.3999999999999994e-171	561.3	23.2	1.0	1.0	0	0	1	1	1	1	ErmC: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000250]	1423	Bacillus subtilis	NP_040407.1	9507309	bacteria|complete|plasmid	PROVISIONAL	244
1	tet_MFS_efflux	RF0134	NP_040422.1	-	8.499999999999998e-113	370.0	31.8	9.599999999999998e-113	369.8	31.8	1.0	1.0	0	0	1	1	1	1	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	1311	Streptococcus agalactiae	NP_040422.1	9507326	bacteria|complete|plasmid	PROVISIONAL	458
2	ANT	RF0166	NP_040433.1	-	3.2e-80	262.1	0.0	3.5999999999999995e-80	262.0	0.0	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase	1280	Staphylococcus aureus	NP_040433.1	9507341	bacteria|complete|plasmid	PROVISIONAL	253
3	Chlor_Acetyltrans_CAT	RF0050	NP_040437.1	-	9.9e-87	283.1	1.2	1.0999999999999999e-86	282.9	1.2	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	1280	Staphylococcus aureus	NP_040437.1	10956142	bacteria|complete|plasmid	PROVISIONAL	216
4	ErmC	RF0071	NP_040462.1	-	5.399999999999998e-171	559.3	23.5	6.099999999999999e-171	559.2	23.5	1.0	1.0	0	0	1	1	1	1	ErmC: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000250]	1282	Staphylococcus epidermidis	NP_040462.1	9507371	bacteria|complete|plasmid	PROVISIONAL	244
5	tet_MFS_efflux	RF0134	NP_040465.1	-	1.0999999999999999e-104	343.4	38.2	1.1999999999999997e-104	343.2	38.2	1.0	1.0	0	0	1	1	1	1	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	1280	Staphylococcus aureus	NP_040465.1	9507375	bacteria|complete|plasmid	PROVISIONAL	459
6	tet_MFS_efflux	RF0134	NP_040470.1	-	2.7e-64	210.3	14.2	3.0999999999999996e-64	210.1	14.2	1.0	1.0	0	0	1	1	1	1	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	1280	Staphylococcus aureus	NP_040470.1	9507382	bacteria|complete|plasmid	PROVISIONAL	295
7	ErmC	RF0071	NP_040475.1	-	2.199999999999999e-171	560.6	22.9	2.399999999999999e-171	560.5	22.9	1.0	1.0	0	0	1	1	1	1	ErmC: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000250]	1280	Staphylococcus aureus	NP_040475.1	9507389	bacteria|complete|plasmid	PROVISIONAL	244
8	tet_MFS_efflux	RF0134	NP_043524.1	-	8.499999999999998e-113	370.0	31.8	9.599999999999998e-113	369.8	31.8	1.0	1.0	0	0	1	1	1	1	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	1396	Bacillus cereus	NP_043524.1	9507393	bacteria|complete|plasmid	PROVISIONAL	458
9	APH3''	RF0172	NP_044301.1	-	3.899999999999998e-164	537.4	0.1	4.299999999999998e-164	537.2	0.1	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	562	Escherichia coli	NP_044301.1	9507399	bacteria|complete|plasmid	PROVISIONAL	267
10	APH6	RF0034	NP_044302.1	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	562	Escherichia coli	NP_044302.1	9507400	bacteria|complete|plasmid	PROVISIONAL	278
11	tet_MFS_efflux	RF0134	NP_044360.1	-	2.7e-64	210.3	14.2	3.0999999999999996e-64	210.1	14.2	1.0	1.0	0	0	1	1	1	1	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	1280	Staphylococcus aureus	NP_044360.1	10956146	bacteria|complete|plasmid	PROVISIONAL	295
12	Chlor_Efflux_Pump	RF0051	NP_044444.1	-	2.899999999999999e-131	431.1	61.2	3.1999999999999995e-131	430.9	61.2	1.0	1.0	0	0	1	1	1	1	chloramphenicol efflux pump [ARO:3001212]	1718	Corynebacterium glutamicum	NP_044444.1	10956585	bacteria|complete|plasmid	PROVISIONAL	391
13	Chlor_Acetyltrans_CAT	RF0050	NP_044466.1	-	1.8999999999999994e-90	295.2	11.4	2.1e-90	295.1	11.4	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	1311	Streptococcus agalactiae	NP_044466.1	10956206	bacteria|complete|plasmid	PROVISIONAL	215
14	APH3	RF0033	NP_052154.1	-	1.4999999999999995e-143	469.8	0.0	1.6999999999999995e-143	469.6	0.0	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000126]	90371	Salmonella enterica subsp. enterica serovar Typhimurium	NP_052154.1	9507434	bacteria|complete|plasmid	PROVISIONAL	271
15	Chlor_Acetyltrans_CAT	RF0050	NP_052167.1	-	3.0999999999999987e-91	297.8	12.9	3.399999999999999e-91	297.6	12.9	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	1280	Staphylococcus aureus	NP_052167.1	10956157	bacteria|complete|plasmid	PROVISIONAL	215
16	TEM	RF0126	NP_052173.1	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	485	Neisseria gonorrhoeae	NP_052173.1	10955180	bacteria|complete|plasmid	PROVISIONAL	286
17	TetA	RF0127	NP_052244.1	-	2.1999999999999998e-187	615.6	30.8	2.4999999999999993e-187	615.4	30.8	1.0	1.0	0	0	1	1	1	1	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	263	Francisella tularensis	NP_052244.1	10954621	bacteria|complete|plasmid	PROVISIONAL	396
18	tet_MFS_efflux	RF0134	NP_052571.1	-	6.999999999999997e-143	469.1	28.9	7.799999999999998e-143	468.9	28.9	1.0	1.0	0	0	1	1	1	1	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	1718	Corynebacterium glutamicum	NP_052571.1	10956601	bacteria|complete|plasmid	PROVISIONAL	384
19	ABC_efflux	RF0007	NP_052625.1	-	2.2e-83	273.5	0.8	3.5999999999999994e-83	272.8	0.8	1.3	1.0	0	0	1	1	1	1	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	386585	Escherichia coli O157:H7 str. Sakai	NP_052625.1	10955284	bacteria|complete|plasmid	REVIEWED	706
20	Chlor_Acetyltrans_CAT	RF0050	NP_052694.1	-	5.099999999999999e-92	300.3	12.4	5.699999999999999e-92	300.2	12.4	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	1280	Staphylococcus aureus	NP_052694.1	10956165	bacteria|complete|plasmid	PROVISIONAL	215
21	ANT3	RF0027	NP_052897.3	-	9.999999999999997e-169	552.2	1.1	1.1999999999999997e-168	551.9	1.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	1288825	Shigella flexneri 2b	NP_052897.3	452909618	bacteria|complete|plasmid	PROVISIONAL	336
22	Chlor_Acetyltrans_CAT	RF0050	NP_052903.1	-	2.1999999999999997e-85	278.6	5.8	2.6999999999999996e-85	278.4	5.8	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	1288825	Shigella flexneri 2b	NP_052903.1	9507572	bacteria|complete|plasmid	PROVISIONAL	219
23	TetA-B	RF0128	NP_052931.1	-	4.1999999999999984e-278	914.5	30.6	4.699999999999998e-278	914.4	30.6	1.0	1.0	0	0	1	1	1	1	tetA(B): tetracycline resistance MFS efflux pump [ARO:3000165]	1288825	Shigella flexneri 2b	NP_052931.1	9507600	bacteria|complete|plasmid	PROVISIONAL	401
24	ErmB	RF0070	NP_053005.1	-	1.8999999999999994e-173	567.4	15.9	2.099999999999999e-173	567.2	15.9	1.0	1.0	0	0	1	1	1	1	ErmB: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000375]	1311	Streptococcus agalactiae	NP_053005.1	10956213	bacteria|complete|plasmid	PROVISIONAL	245
25	tet_MFS_efflux	RF0134	NP_053795.1	-	1.0999999999999999e-104	343.4	38.2	1.1999999999999997e-104	343.2	38.2	1.0	1.0	0	0	1	1	1	1	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	1280	Staphylococcus aureus	NP_053795.1	10956152	bacteria|complete|plasmid	PROVISIONAL	459
26	APH3''	RF0172	NP_054472.1	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	747	Pasteurella multocida	NP_054472.1	10955977	bacteria|complete|plasmid	PROVISIONAL	267
27	TetA-B	RF0128	NP_058295.1	-	6.899999999999998e-278	913.8	30.6	7.699999999999995e-278	913.6	30.6	1.0	1.0	0	0	1	1	1	1	tetA(B): tetracycline resistance MFS efflux pump [ARO:3000165]	90370	Salmonella enterica subsp. enterica serovar Typhi	NP_058295.1	10957271	bacteria|complete|plasmid	PROVISIONAL	401
28	APH3''	RF0172	NP_065289.1	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	136143	uncultured eubacterium pIE1115	NP_065289.1	10957121	bacteria|complete|plasmid	PROVISIONAL	267
29	APH6	RF0034	NP_065290.1	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	136143	uncultured eubacterium pIE1115	NP_065290.1	10957122	bacteria|complete|plasmid	PROVISIONAL	278
30	ANT3	RF0027	NP_065311.1	-	3.799999999999999e-167	547.0	1.1	4.299999999999999e-167	546.8	1.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	562	Escherichia coli	NP_065311.1	10955459	bacteria|complete|plasmid	PROVISIONAL	262
31	Chlor_Acetyltrans_CAT	RF0050	NP_073222.1	-	3.599999999999999e-87	284.5	1.0	3.8999999999999994e-87	284.4	1.0	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	75985	Mannheimia haemolytica	NP_073222.1	12084929	bacteria|complete|plasmid	PROVISIONAL	213
32	APH3''	RF0172	NP_073223.1	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	75985	Mannheimia haemolytica	NP_073223.1	12084930	bacteria|complete|plasmid	PROVISIONAL	267
33	Chlor_Acetyltrans_CAT	RF0050	NP_149224.1	-	5.500000000000001e-52	169.5	3.8	6.2e-52	169.3	3.8	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	272562	Clostridium acetobutylicum ATCC 824	NP_149224.1	15004764	bacteria|complete|plasmid	REVIEWED	220
34	ABC_efflux	RF0007	NP_149237.1	-	6.399999999999999e-75	245.6	0.0	8e-75	245.3	0.0	1.0	1.0	0	0	1	1	1	1	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	272562	Clostridium acetobutylicum ATCC 824	NP_149237.1	15004777	bacteria|complete|plasmid	REVIEWED	731
35	TetA	RF0127	NP_387454.1	-	4.6999999999999993e-188	617.8	30.6	5.1999999999999995e-188	617.7	30.6	1.0	1.0	0	0	1	1	1	1	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	29491	Aeromonas salmonicida subsp. salmonicida	NP_387454.1	15983535	bacteria|complete|plasmid	PROVISIONAL	396
36	TetA	RF0127	NP_387461.1	-	7.499999999999999e-188	617.1	31.2	8.299999999999999e-188	617.0	31.2	1.0	1.0	0	0	1	1	1	1	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	645	Aeromonas salmonicida	NP_387461.1	15983524	bacteria|complete|plasmid	PROVISIONAL	396
37	APH3''	RF0172	NP_387466.1	-	2.3999999999999993e-160	525.0	0.1	2.599999999999999e-160	524.8	0.1	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	715	Actinobacillus pleuropneumoniae	NP_387466.1	15983530	bacteria|complete|plasmid	PROVISIONAL	267
38	macB	RF0089	NP_396108.1	-	4.399999999999998e-221	728.0	15.2	4.999999999999998e-221	727.8	15.2	1.0	1.0	0	0	1	1	1	1	macB: subunit of efflux pump conferring antibiotic resistance [ARO:3000535]	176299	Agrobacterium fabrum str. C58	NP_396108.1	16119402	bacteria|complete|plasmid	REVIEWED	648
